,latitude,longitude,bathrooms,bedrooms,beds,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
0,37.98924,23.765,1.0,1.0,1.0,2.3,1125.0,4.86,4.89,4.9,4.86,4.97,4.75,4.71,0.19
1,37.96215,23.72179,1.0,1.0,2.0,4.0,1125.0,4.96,4.97,4.97,4.89,4.92,4.86,4.91,0.68
2,37.95523,23.72443,1.0,1.0,1.0,2.0,90.0,4.95,4.98,4.98,4.93,4.93,4.73,4.9,0.28
3,37.99745,23.73973,1.0,1.0,1.0,3.0,1125.0,4.61,4.88,4.47,4.88,4.89,4.28,4.72,0.14
4,37.98844,23.73845,1.0,1.0,1.0,2.0,1125.0,4.95,4.94,4.96,4.97,4.93,4.82,4.93,3.58
5,37.98841,23.73713,1.0,1.0,2.0,2.0,1125.0,4.93,4.94,4.98,4.97,4.94,4.81,4.91,3.53
6,37.99374,23.73083,1.5,3.0,5.0,3.0,1125.0,4.91,4.92,4.88,4.97,4.97,4.61,4.84,0.83
7,38.00673,23.72775,1.0,2.0,3.0,4.0,365.0,4.73,4.74,4.69,4.88,4.89,4.63,4.79,0.45
8,37.9767,23.73064,1.5,3.0,4.0,2.0,1125.0,4.68,4.78,4.69,4.84,4.86,4.88,4.7,0.86
9,37.96738,23.74038,1.0,1.0,3.0,6.0,210.0,4.97,4.97,4.94,4.91,4.97,4.91,4.94,0.29
10,37.97794,23.74371,1.0,1.0,1.0,3.0,150.0,4.6,4.73,4.5,4.73,4.73,4.92,4.58,0.17
11,37.96405,23.74968,1.0,1.0,1.0,3.0,90.0,4.65,4.63,4.36,4.96,4.93,4.52,4.83,0.35
12,37.98574,23.73323,1.0,1.0,2.0,2.0,366.0,4.72,4.8,4.68,4.85,4.89,4.58,4.66,1.31
13,37.96828,23.72906,1.0,1.0,1.0,2.0,365.0,4.77,4.83,4.83,4.72,4.78,4.95,4.71,0.51
14,37.98586,23.72432,1.0,2.0,8.0,3.0,1125.0,4.64,4.85,4.67,4.89,4.8,4.22,4.6,0.31
15,37.9802,23.72357,0.0,1.0,0.0,2.0,365.0,4.74,4.64,4.88,5.0,4.92,4.6,4.6,0.16
16,37.9802,23.72357,0.0,3.0,0.0,2.0,365.0,4.83,4.72,4.9,4.83,4.97,4.86,4.76,0.22
17,37.97911,23.74553,1.0,1.0,2.0,4.0,1125.0,4.63,4.67,4.56,4.92,4.98,4.91,4.53,0.45
18,37.98058,23.72337,1.5,2.0,2.0,1.0,1125.0,4.88,4.94,4.98,4.88,4.94,4.69,4.86,0.62
19,37.9802,23.72357,0.0,1.0,0.0,2.0,365.0,4.97,4.9,4.9,4.97,4.97,4.84,4.83,0.25
20,37.97851,23.72479,1.0,1.0,1.0,2.0,1125.0,4.98,4.96,4.98,4.99,4.99,4.91,4.88,4.65
21,37.98729,23.74311,1.0,0.0,1.0,5.0,365.0,4.5,4.5,4.5,5.0,5.0,4.5,4.5,0.02
22,37.96478,23.74541,1.0,2.0,3.0,2.0,1125.0,4.66,4.84,4.86,4.7,4.74,4.56,4.7,1.88
23,37.97774,23.73,1.0,2.0,4.0,1.0,1125.0,4.69,4.74,4.79,4.84,4.84,4.75,4.7,1.42
24,37.96826,23.72777,1.0,1.0,1.0,2.0,365.0,4.92,4.93,4.88,4.96,5.0,4.97,4.89,3.76
25,37.97665,23.7185,1.0,1.0,2.0,2.0,1025.1,4.77,4.73,4.87,4.92,4.87,4.9,4.73,0.73
26,37.97952,23.72999,1.0,1.0,1.0,1.0,1125.0,4.76,4.87,4.91,4.86,4.92,4.74,4.79,1.7
27,37.98857,23.7464,1.0,3.0,3.0,20.0,1125.0,4.38,4.25,4.38,4.63,4.5,4.38,4.5,0.08
28,37.98599,23.71586,1.0,2.0,3.0,2.0,1125.0,4.83,4.8,4.77,4.83,4.83,4.37,4.53,0.21
29,37.97874,23.74259,1.0,2.0,2.0,3.0,1125.0,4.94,5.0,5.0,5.0,4.98,4.89,4.89,0.45
30,37.9802,23.72357,4.0,4.0,6.0,2.0,365.0,4.85,4.84,4.87,4.96,5.0,4.86,4.89,0.37
31,37.96703,23.72434,1.0,1.0,2.0,1.0,1125.0,4.92,4.94,4.98,4.94,4.96,4.97,4.92,2.46
32,37.97723,23.72841,1.5,2.0,3.0,3.0,1125.0,4.67,4.72,4.67,4.82,4.73,4.81,4.69,0.6
33,37.96387,23.72075,0.0,2.0,0.0,2.0,20.0,4.72,4.74,4.83,4.85,4.82,4.85,4.74,0.76
34,37.967319,23.735407,1.0,1.0,1.0,2.0,1125.0,4.73,4.82,4.84,4.89,4.89,4.8,4.81,6.83
35,37.96845,23.72873,1.0,1.0,1.0,2.0,1125.0,5.0,4.99,4.99,4.98,4.97,4.98,4.97,3.0
36,37.97291,23.72739,1.0,2.0,3.0,1.8,20.0,4.93,4.96,4.95,4.94,4.85,4.97,4.88,2.66
37,37.968,23.71314,1.0,1.0,2.0,3.0,365.0,4.57,4.6,4.5,4.97,4.73,4.8,4.7,0.2
38,37.9802,23.72357,0.0,1.0,0.0,2.0,365.0,4.63,4.63,4.88,4.88,4.63,4.63,4.38,0.06
39,37.9802,23.72357,0.0,2.0,0.0,2.0,365.0,4.9,4.9,5.0,5.0,4.8,4.7,4.7,0.08
40,37.97277,23.72745,1.0,1.0,1.0,2.0,1125.0,4.91,4.87,4.87,4.87,4.83,5.0,4.74,0.23
41,37.96341,23.71816,1.0,2.0,2.0,3.0,30.0,4.55,4.77,4.51,4.71,4.78,4.78,4.63,0.82
42,37.9802,23.72357,0.0,5.0,0.0,2.0,365.0,4.8,4.84,4.84,4.92,4.87,4.76,4.79,0.59
43,37.9802,23.72357,0.0,1.0,0.0,2.0,365.0,4.89,4.78,4.89,4.89,5.0,4.89,4.89,0.08
44,37.98819351196289,23.728649139404297,0.0,1.0,0.0,7.0,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.46
45,37.99527,23.76651,1.0,2.0,2.0,1.0,180.0,4.87,4.9,4.94,4.95,4.93,4.82,4.88,1.3
46,37.97065,23.72931,2.5,2.0,4.0,2.0,365.0,4.99,4.97,4.99,4.99,5.0,4.98,4.93,2.16
47,37.97039,23.7288,2.0,2.0,3.0,3.0,45.0,4.92,4.96,4.91,4.96,4.9,4.99,4.87,2.01
48,37.97794,23.72772,0.0,1.0,1.0,3.0,1125.0,4.83,4.88,4.84,4.88,4.92,4.86,4.72,0.37
49,37.98394,23.73451,1.0,2.0,1.0,1.0,30.0,4.79,4.82,4.58,4.89,4.81,4.55,4.78,0.55
50,37.98103,23.71538,1.0,1.0,1.0,1.0,364.4,4.9,4.9,4.93,4.94,4.95,4.77,4.85,2.57
51,37.96648,23.7276,1.0,1.0,1.0,3.0,365.0,4.65,4.78,4.88,4.85,4.91,4.89,4.65,0.44
52,37.97506,23.73068,1.0,1.0,1.0,3.0,365.0,4.84,4.91,4.91,4.88,4.88,5.0,4.76,0.22
53,37.969032287597656,23.7116756439209,1.5,2.0,4.0,3.0,1125.0,4.97,4.93,4.93,4.97,4.95,4.92,4.97,0.47
54,37.97099,23.71323,2.0,2.0,3.0,180.0,1125.0,4.91,4.93,4.92,4.96,4.93,4.83,4.9,1.03
55,37.96598,23.74795,4.0,4.0,9.0,2.7,1125.0,4.88,4.79,4.96,4.83,4.96,4.75,4.63,0.17
56,37.97538,23.73264,1.0,1.0,2.0,3.0,1125.0,4.77,4.82,4.81,4.95,4.97,4.97,4.8,2.92
57,38.02512,23.73536,1.0,1.0,2.0,2.0,1125.0,4.68,4.76,4.67,4.8,4.85,4.6,4.71,1.79
58,37.97481,23.72818,1.0,1.0,1.0,2.0,1125.0,4.89,4.89,4.86,4.86,4.84,4.97,4.82,1.56
